,NAME,ADDR_STREET,ADDR_POSTCODE,PHONE,SPORT,WEBSITE,EMAIL,OPENING_HOURS,normalized_postcode
833,David Lloyd Clubs,,,,,,,,NAN
834,,,,,,,,,NAN
835,,,,,,,,,NAN
836,,,,,,,,,NAN
837,Recreation Park,,,,soccer,,,,NAN
838,Larkhall Circuit,,,,karting,https://larkhallcircuit.com/,,,NAN
839,Linthouse Bowling Club,Drumoyne Avenue,G51 4AP,,bowls,,,,G514AP
840,Playsport,,,,,,,,NAN
841,,,,,,,,,NAN
842,Linwood Sports Centre,,,,,,,,NAN
843,,,,,,,,,NAN
844,,,,,,,,,NAN
845,,,,,,,,,NAN
846,Bearsden Lawn Tennis Club,,,,tennis,,,,NAN
847,West of Scotland Football Club,,,,club,,,,NAN
848,Allander Leisure Centre,,,,,,,,NAN
849,Bearsden Snowsports Club,,,,,,,,NAN
850,Milngavie Fitness & Wellbeing Gym,Strathblane Road,G62 8HJ,+44 141 955 2400,multi,,,Mo-Fr 06:30-22:00; Sa-Su 07:30-21:00,G628HJ
851,,,,,,,,,NAN
852,John Wright Sports Centre,,,,,,,,NAN
853,Busby Tennis Club,,,,tennis,,,,NAN
854,Oriam Indoor Tennis Centre (ITC),,,,,,,,NAN
855,Glasgow Indoor Bowling Club,,,,bowls,,,,NAN
856,,,,,,,,,NAN
857,,,,,,,,,NAN
858,Renfrew Leisure Centre,Paisley Road,PA4 8LJ,+44 300 3000250,,,,,PA48LJ
859,SoccerWorld,Old Glamis Road,DD3 8LF,+44 1382 816888,soccer,https://soccerworlduk.com/soccerworld-dundee,dundee@soccerworlduk.com,"Mo-Fr 16:00-21:00; Sa,Su 10:00-16:00",DD38LF
860,,,,,,,,,NAN
861,,,,,,,,,NAN
862,,,,,,,,,NAN
863,,,,,,,,,NAN
864,,,,,,,,,NAN
865,Alistair McCoist Sports Centre,Quarry Road,G75 9LW,,,,,09:00-22:00,G759LW
866,Darnley Bowling Club,,,,,,,,NAN
867,,,,,,,,,NAN
868,Shanks Bowling Club,,,,,,,,NAN
869,,,,,,,,,NAN
870,Meikleriggs Bowling Club,,,,,,,,NAN
871,Bishopbriggs Bowling Club,,,,,,,,NAN
872,,,,,,,,,NAN
873,Auchinairn Bowling Club,,,,,,,,NAN
874,,,,,,,,,NAN
875,,,,,,,,,NAN
876,Burnbank Bowling Club,,,,bowls,,,,NAN
877,,,,,,,,,NAN
878,Galloway Activity Centre,,,,sailing;windsurfing;powerboating;kayaking;canoeing;lasertag;climbing;zipline;mountain_biking;archery,https://www.lochken.co.uk/,,,NAN
879,,,,,,,,,NAN
880,,,,,climbing_adventure,,,,NAN
881,Neilston Leisure Centre,,,,swimming,,,,NAN
882,Hampden Bowling Club,,,,bowls,,,,NAN
883,,,,,,,,,NAN
884,Inverness Leisure,Bught Lane,IV3 5SS,+44 1463 667500,multi,http://www.invernessleisure.co.uk/,,,IV35SS
885,,,,,,,,,NAN
886,Aviemore Highlands Resort,,,,swimming,,,,NAN
887,,,,,,,,,NAN
888,,,,,,,,,NAN
889,,,,,,,,,NAN
890,Barrhead Bowling Club,,,,,,,,NAN
891,Osprey Park,,,,,,,,NAN
892,,,,,,,,,NAN
893,,,,,,,,,NAN
894,,,,,,,,,NAN
895,Partick Bowling Club,,,,,,,,NAN
896,,,,,,,,,NAN
897,,,,,shooting,,,,NAN
898,,,,,,,,,NAN
899,Dunkeld and Birnam Sports and Leisure Hub,,,,,,,,NAN
900,,,,,,,,,NAN
901,,,,,,,,,NAN
902,Alien Bloc,,,+44 131 558 9955,climbing,https://www.alienrock.co.uk/alien_bloc_pages/alien_bloc_about/alien_bloc_about.html,aliens@alienrock.co.uk,,NAN
903,,,,,,,,,NAN
904,,,,,,,,,NAN
905,,,,,,,,,NAN
906,,,,,,,,,NAN
907,,,,,,,,,NAN
908,,,,,,,,,NAN
909,,,,,,,,,NAN
910,,,,,,,,,NAN
911,,,,,,,,,NAN
912,,,,,,,,,NAN
913,Antonine Sports Centre,,,,,,,,NAN
914,Wild Shore Dundee,,DD1 3JP,,water_sports,https://www.wildshoredundee.co.uk/aqua-park,,,DD13JP
915,,,,,,,,,NAN
916,,,,,,,,,NAN
917,Golf It!,Cumbernauld Road,G33 1AH,+44 141 726 2444,golf,https://www.golf-it.com/,,Apr 01-Sep 30: Mo 12:00-21:00; Tu-Su 10:00-21:00; Oct 01-31 Mar: Mo 12:00-20:00; Tu-Fr 10:00-20:00; Sa-Su 10:00-18:00,G331AH
918,Leith Victoria Swim Centre,,,,,,,,NAN
919,,,,,,,,,NAN
920,,,,,,,,,NAN
921,,,,,swimming,,,,NAN
922,,,,,swimming,,,,NAN
923,Inverness Aquadome,,,,swimming,,,,NAN
924,,,,,climbing,,,,NAN
925,Firbush Outdoor Centre,,,,multi,https://www.ed.ac.uk/schools-departments/sport-exercise/outdoor-centre,,,NAN
926,Nevis Range Mountain Resort,,,,,https://www.nevisrange.co.uk/,,,NAN
927,Lochinver Leisure Centre,,,,multi,,,,NAN
928,,,,,canoe,,,,NAN
929,Uddingston Sports Centre,,,,,,,,NAN
930,Prestwick Sailing Club,,,,sailing,,,,NAN
931,,,,,,,,,NAN
932,Keir Hardie Sports Centre,,,,,,,,NAN
933,,,,,tennis,,,,NAN
934,Pool@ISE,,,,,,,Mo-Fr 07:00-21:30; Sa-Su 08:30-17:30,NAN
935,Hunters Quay Holiday Village Leisure Centre,,,,swimming,,,,NAN
936,board and  bike ramps,,,,,,,,NAN
937,Nairn Swimming Pool,,,,swimming,https://www.highlifehighland.com/nairn-leisure-centre/swimming-pool/,,,NAN
938,"Peterhead Community, Theatre and Leisure Centre",,,,,,,,NAN
939,Maryhill Leisure Centre,Gairbriad Avenue,G20 8YE,,swimming; dance; gym,,,,G208YE
940,North Merchiston Club,Watson Crescent,EH11 1EP,+44 131 662 1757,,,,,EH111EP
941,Borlum Farm,,,,equestrian,,,,NAN
942,Lecht Ski Centre,,,,skiing,,,,NAN
943,South Mainland Pool,,,,,,,,NAN
944,Govanhill Baths,,,,,,,,NAN
945,Carrick Sports Centre,,,,,,,,NAN
946,Aizle Active,,,,,,,,NAN
947,Loanhead Swimming Pool,George Avenue,EH20 9LA,,swimming,,,,EH209LA
948,Balavil Sport Hotel Pool,,,,,,,,NAN
949,Averon Centre,,,,,,,,NAN
950,Invergordon Swimming Pool,,,,,,,,NAN
951,Port Bannatyne Petanque Club,,,,boules,,,,NAN
952,The Penicuik Centre,,,,swimming,,,,NAN
953,RGU: Sport,,,,,,,,NAN
954,,,,,swimming,,,,NAN
955,Rutherglen Lifestyle,,,,swimming,,,,NAN
956,,,,,swimming,,,,NAN
957,,,,,,,,,NAN
958,,,,,,,,,NAN
959,Free Wheel North Cycling Centre,Glasgow Green,G40 1AT,,cycling,,,,G401AT
960,,,,,swimming,,,,NAN
961,Western Baths,Cranworth Street,G12 8BZ,+44 141 576 0294,swimming,https://thewesternbaths.co.uk/,reception@thewesternbaths.co.uk,,G128BZ
962,,,,,swimming,,,,NAN
963,The Newsroom - The Climbing Academy,Portman Street,G41 1EJ,+44 141 429 6331,climbing,https://www.theclimbingacademy.com/locations/the-newsroom/,glasgow@theclimbingacademy.com,Mo-Fr 07:00-22:00; Sa-Su 08:00-20:00,G411EJ
964,Ionad Spòrs Eilean na Hearadh,,,,,https://www.cne-siar.gov.uk/leisure-sport-and-culture/sport-and-health/sports-centres/isle-of-harris-sports-centre/,,,NAN
965,,,,,soccer,,,,NAN
966,,,,,gymnastics,,,,NAN
967,Bilco's play barn,,,,,,,,NAN
968,,,,,,,,,NAN
969,,,,,,,,,NAN
970,Bikram Yoga College of India,,,,,http://www.bikramyogaedinburgh.co.uk/,,,NAN
971,Leith Victoria AAC,Academy Street,,+44 131 333 1112,boxing,http://www.leith-victoria-aac.com/,,,NAN
972,Reardons New City Snooker Club,New City Road,,,snooker,https://www.reardonsnookerandpool.com/,,,NAN
973,Hillside Bowling Club,Brunton Place,,,boules,,,,NAN
974,Ashtanga Yoga,Montgomery Street Lane,EH7 5JT,,yoga,https://www.ashtangayogaedinburgh.co.uk/,info@ashtangayogaedinburgh.co.uk,,EH75JT
975,KBC Pilates,Cadzow Place,,+44 131 652 1888,,http://www.kbcpilates.com/,,,NAN
976,YMCA,Chesser Avenue,,,,,,,NAN
977,,,,,,,,,NAN
978,,,,,gym,,,,NAN
979,Locarno Snooker,,,,billiards,,,,NAN
980,North Coast Leisure Centre,,,,swimming,,,,NAN
981,Edinburgh TEBA Boxing Academy,West Harbour Road,EH5 1PN,+44 7858 301377,,http://theedinburghboxingacademy.co.uk/,,,EH51PN
982,,,,,outdoor_activities,,,,NAN
983,The Fitness Academy,Clerk Road,EH26 9EY,,fitness,,,,EH269EY
984,Scottish Squash Rackets Club,,,,Squash,http://scottishsquashracketsclub.co.uk/,,,NAN
985,Lasswade Swimming Pool,,,,swimming,,,,NAN
986,Tain Royal Academy Community Complex,,,,,,,,NAN
987,Fauldhouse Swimming Pool,,,,swimming,,,,NAN
988,Xcite Fauldhouse,,,,,,,,NAN
989,Gracemount Leisure Centre Pool,,,,,,,,NAN
990,Fitness Soul Studio,Tennant Street,,,,https://fitnesssoul.co.uk/,,,NAN
991,The Club,West Bowling Green Street,,+44 131 555 4578,,https://www.theclubedinburgh.co.uk/,,,NAN
992,Boroughmuir Rugby and Community Sports Club,Meggetland Wynd,,,,,,,NAN
993,Jordan Kynoch Fitness,Queensferry Road,,+44 771 718 3849,,http://www.jordankynochfitness.co.uk/,jordan.kynoch@hotmail.co.uk,,NAN
994,Han Wong Tae Kwon Do Academy,Thornybauk,EH3 9QH,+44 787 648 8309,taekwondo,http://www.hanwong.co.uk/,,,EH39QH
995,Aker Active,,,,,,,,NAN
996,Institute of Sport & Exercise,Old Hawkhill,,+441382 384122,,https://www.dundee.ac.uk/ise/,ise@dundee.ac.uk,Mo-Fr 07:00-21:30; Sa-Su 08:30-17:30,NAN
997,Glasgow Club,Argyle Street,G3 8AW,+44 141 276 1450,,https://glasgowclub.org/Venues/Pages/venue-details.aspx?vn=SRKHI,,Mo-Fr 06:00-22:00; Sa 08:00-18:00; Su 08:00-20:00,G38AW
998,Carron Valley Fishery,,,,fishing,,,,NAN
999,Lagan Wolftrax,,PH20 1BU,,cycling,https://www.lagganforest.com/,,,PH201BU
1000,Frame,,,,snooker,,,,NAN
1001,Forrester RFC,,,+44 131 334 6981,rugby,,,,NAN
1002,Quadmania Scotland,Blairmore,PA23 8TP,,archery;quad_biking;shooting,https://www.quadmaniascotland.co.uk/,,,PA238TP
1003,Melrose Football Club,,,,soccer,,,,NAN
1004,Ionad Spòrs Lionacleit,,,,,https://www.cne-siar.gov.uk/leisure-sport-and-culture/sport-and-health/sports-centres/sgoil-lionacleit-sports-centre/,,,NAN
1005,Bracoden Swimming Pool,,,,,,,,NAN
1006,Breadalbane Community Campus Swimming Pool,Crieff Road,PH15 2DU,,,https://www.liveactive.co.uk/,,"Mo-Fr 07:00-21:30, Sa-Su 08:00-16:30",PH152DU
1007,,,,,swimming,,,,NAN
1008,,,,,,,,,NAN
1009,Glenshee Ski Centre,,,,,https://www.ski-glenshee.co.uk/,,,NAN
1010,Tillyoch Equestrian Centre,,,,equestrian,,,,NAN
1011,Wester Hailes Education Centre,Murrayburn Drive,,,swimming,,,,NAN
1012,Waterski & Wakeboard Scotland,,,,,,,,NAN
1013,Newbattle Leisure Centre,,,,multi,,,,NAN
1014,Comrie Croft Trails,,,,cycling;mtb,,,,NAN
1015,Skills Park,,,,cycling;mtb,,,,NAN
1016,Tarland Trails,,,,cycling;mtb,,,,NAN
1017,Loch Lomond Watersports,,,,,https://lochlomond-scotland.com,,,NAN
1018,Sports Facility,,,,,,,,NAN
1019,,,,,swimming,,,,NAN
1020,Duloch Leisure Centre,,,,,,,,NAN
1021,The Climbing Hangar,East Telferton,EH7 6XD,0131 370 3100,climbing,,edinburgh@theclimbinghangar.com,"Mo,Tu,Th 10:00-22:00; We 06:30-22:00; Fr 06:30-21:00; Sa,Su 09:00-19:00",EH76XD
1022,Air Thrill,,FK2 7XF,,trampoline,,,,FK27XF
1023,,,,,swimming,,,,NAN
1024,,,,,,,,,NAN
1025,,,,,,,,,NAN
1026,,,,,climbing,,,,NAN
1027,,,,,climbing,,,,NAN
1028,,,,,swimming,,,,NAN
1029,St Andrews Links Golf Academy,,,,golf,,,,NAN
1030,,,,,,,,,NAN
1031,Eden Rock Edinburgh,Edgefield Road Industrial Estate,EH20 9TB,+44 131 2856044,climbing,https://www.edenrockclimbing.com/,,,EH209TB
1032,,,,,equestrian,,,,NAN
1033,Swimming Pool,,,,,,,,NAN
1034,,,,,swimming,,,,NAN
1035,Ryan Centre Swimming Pool,,,,,https://www.dumgal.gov.uk/article/15720/Ryan-Centre-Swimming-Pool,,,NAN
1036,The Prop Store - The Climbing Academy,Craigmont Street,G20 9BT,+44 141 429 6331,climbing,https://www.theclimbingacademy.com/locations/the-prop-store/,glasgow@theclimbingacademy.com,Mo-Fr 08:00-22:00; Sa-Su 09:00-20:00,G209BT
1037,,,,,,,,,NAN
1038,Arran Community Sport Hub,,KA27 8NG,,multi,,,,KA278NG
1039,,,,,,,,,NAN
1040,,,,,,,,,NAN
1041,Buckie Swimming Pool & Fitness Centre,,,,,,,,NAN
1042,Aberdeen Grammar School Swimming Pool,,,,,,,,NAN
1043,Third Ridge,,,,climbing,https://www.third-ridge.com/,,,NAN
1044,TeamSport Go Karting Dundee,Myrekirk Road,DD2 4SH,,karting,https://www.team-sport.co.uk/go-kart-tracks/dundee,,,DD24SH
1045,Broughton & District Tennis Club,School Lane,ML12 6HQ,,tennis,https://clubspark.lta.org.uk/BroughtonDistrictTennisClub,tennisclubbroughton@gmail.com,,ML126HQ
1046,Hang On,,,+44 1698 281615,climbing,https://hangonclimbing.com/,info@hangonclimbing.com,,NAN
1047,Hatchet Harry's,South College Street,AB11 6JX,,indoor_axe_throwing,https://aberdeen.hatchetharrys.co.uk/,,,AB116JX
1048,Shotz,South College Street,AB11 6JX,,billiards,,,,AB116JX
1049,Aviemore Kart Raceway,,PH22 1QD,,karting,https://aviemorekartraceway.co.uk/,,,PH221QD
1050,Buchan Offroad Motorcycle Club,,,,motocross,http://www.buchanoffroad.co.uk/,,,NAN
1051,,,,,karting,,,,NAN
1052,,,,,,,,,NAN
1053,KO Kings,Dumbarton Road,,,boxing,,,,NAN
1054,"Arainn Fhinn, The Fingal Center Leisure Centre",Viewfield Road,IV51 9ET,,,https://www.highlifehighland.com/,,,IV519ET
1055,Fair City Jiu Jitsu,,,,,,,,NAN
1056,Dowden's Martial Arts,Burnhouse Industrial Estate,,,martial_arts,https://www.dma.scot/,,,NAN
1057,Shandon Pool and Snooker,Hermand Street,,,snooker;billiards,,,,NAN
1058,TKD Sport,,IV3 5SR,,taekwondo,https://tkdsport.co.uk/,,,IV35SR
1059,The Ball Room,,,,snooker,,,,NAN
1060,,,,,,,,,NAN
1061,Block 10,,,,climbing,,,,NAN
1062,Waverley Pool,Mansfield Road,TD9 8AG,,swimming,,,,TD98AG
1063,Laidlaw Memorial Pool,Oxnam Road,TD8 6QH,,swimming,,,,TD86QH
1064,,,,,,,,,NAN
1065,,,,,,,,,NAN
1066,,,,,,,,,NAN
1067,David Lloyd Clubs,,,,,,,,NAN
1068,Harestane Hydrotherapy Pool,,,+44 1382 813569,swimming,http://www.harestane-hydro.co.uk/,enquiries@harestane-hydro.co.uk,,NAN
1069,Aches &Gains Gym,,,,,,,,NAN
1070,Loch Earn Wakeschool,,FK19 8PU,+44 7943 620165,wakeboarding,https://www.lochearnwakeschool.co.uk/,,Mo-Su 10:00-18:00,FK198PU
1071,,,,,,,,,NAN
1072,,,,,,,,,NAN
1073,,,,,,,,,NAN
1074,,,,,,,,,NAN
1075,,,,,,,,,NAN
1076,3d Health and Fitness,Cambridge Street,G2 3HN,,,,,,G23HN
1077,Longcraig Scout Centre,,,,sailing,https://www.longcraig.info/,,,NAN
